player_id,name,week,ppr_points,position,team,season
00-0033935,Trey Hendrickson,1,0.0,DE,CIN,2024
00-0033941,Rayshawn Jenkins,1,0.0,SS,SEA,2024
00-0033952,Grover Stewart,1,0.0,DT,IND,2024
00-0033955,Jeremy McNichols,1,0.0,RB,WAS,2024
00-0034067,Scott Daly,1,0.0,LS,CHI,2024
00-0034091,George Odum,1,0.0,FS,SF,2024
00-0034114,Coleman Shelton,1,0.0,C,CHI,2024
00-0034116,J.T. Gray,1,0.0,SS,NO,2024
00-0034125,Kendal Vickers,1,0.0,DT,NO,2024
00-0034160,Michael Dickson,1,0.0,P,SEA,2024
00-0034161,Daniel Carlson,1,0.0,K,LV,2024
00-0034162,J.K. Scott,1,0.0,P,LAC,2024
00-0034173,Eddy Pineiro,1,0.0,K,CAR,2024
00-0034198,Trent Sieg,1,0.0,LS,DAL,2024
00-0034234,Poona Ford,1,0.0,DE,LAC,2024
00-0034248,Elijah Campbell,1,0.0,SS,MIA,2024
00-0034251,Daniel Ekuale,1,0.0,DT,NE,2024
